# Wajib | ID unik untuk item. Gunakan SKU jika bisa. Masukkan setiap ID hanya satu kali atau item tidak akan diunggah. Untuk iklan dinamis; ID ini harus persis sesuai dengan ID konten untuk item yang sama di Facebook pixel Anda. Batasan karakter: 100.,# Wajib | Judul item yang spesifik dan relevan. Termasuk kata kunci seperti merek; atribut; atau kondisi. Batasan karakter: 150.,# Wajib | Deskripsi item yang singkat dan relevan. Termasuk fitur produk yang spesifik atau unik seperti bahan atau warna. Gunakan teks biasa dan jangan masukkan teks dalam huruf kapital. Batasan karakter: 5.000.,# Wajib | Ketersediaan barang saat ini di toko Anda. | Nilai yang didukung: in stock; available for order; preorder; out of stock; discontinued,# Wajib | Jumlah item di inventaris Anda. Orang tidak dapat membeli item ini kecuali inventarisnya 1 atau lebih. Catatan: Di toko Halaman; item akan ditampilkan sebagai stok habis jika inventarisnya 0; meskipun ketersediaannya adalah 'stok ada'.,# Wajib | Kondisi barang. | Nilai yang didukung: new; refurbished; used,"# Wajib | Biaya dan mata uang item. Harga adalah angka yang diikuti dengan kode mata uang 3 digit (standar ISO 4217). Gunakan tanda titik (""."") sebagai titik desimal.",# Wajib | URL halaman produk tertentu tempat orang dapat membeli item. Jika tidak memiliki URL; berikan fallback; seperti tautan ke Halaman bisnis Facebook Anda.,# Wajib | URL untuk halaman utama item Anda. Gunakan gambar dengan format persegi (1:1) dengan resolusi 1024 x 1024 piksel atau lebih tinggi.,#Optional | Others Image,# Wajib | Nama merek; manufacturer part number (MPN) atau Global Trade Item Number (GTIN) unik item. Anda hanya perlu memasukkan salah satunya; tidak semuanya. Untuk GTIN; masukkan UPC; EAN; JAN; atau ISBN item. Batasan karakter: 100.,# Optional | Kategori produk Google untuk barang tersebut. Pelajari lebih lanjut tentang kategori produk: https://www.facebook.com/business/help/526764014610932. Berikan kategori di kolom fb_product_category atau kolom google_product_category; atau keduanya.,# Optional | Kategori produk Facebook untuk barang tersebut. Pelajari lebih lanjut tentang kategori produk: https://www.facebook.com/business/help/526764014610932. Berikan kategori di kolom fb_product_category atau kolom google_product_category; atau keduanya.,"# Optional | Harga diskon dan mata uang item yang diobral. Harga adalah angka yang diikuti dengan kode mata uang (standar ISO 4217). Gunakan ""."" sebagai titik desimal. Harga obral diwajibkan jika Anda ingin menggunakan overlay untuk harga diskon.",# Optional | Rentang waktu untuk periode sale Anda; termasuk tanggal; waktu; dan zona waktu ketika sale Anda dimulai dan berakhir. Jika Anda tidak memasukkan tanggal sale; item dengan sale_price akan tetap diobral sampai Anda menghapus harga obralnya. Gunakan format ini : YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Masukkan tanggal mulai sebagai  YYYY-MM-DD. Masukkan 'T'. Lalu; masukkan waktu mulai dalam format 24 jam (00:00 hingga 23:59) diikuti dengan zona waktu UTC (-12:00 hingga +14:00). Masukkan '/' dan kemudian ulangi format yang sama untuk tanggal dan waktu berakhir Anda. Contoh baris di bawah menggunakan zona waktu PST (-08:00).,# Optional | Jika item adalah varian; gunakan kolom ini untuk memasukkan ID grup yang sama untuk semua varian dalam kelompok produk yang sama. Misalnya; Kaus Facebook Biru adalah varian dari Kaus Facebook. Facebook akan memilih satu varian untuk ditampilkan di setiap kelompok produk berdasarkan relevansi atau popularitas. Batasan karakter: 100.,# Optional | Jenis kelamin orang yang menjadi target item. | Nilai yang didukung: female; male; unisex,# Optional | Warna barang. Gunakan satu atau beberapa kata untuk menjelaskan warna; bukan kode heks. Batasan karakter: 200.,# Optional | Ukuran item ditulis dalam kata; singkatan; seperti small; XL; atau 12. Batasan karakter: 200.,# Optional | Kelompok usia orang yang menjadi target item. | Nilai yang didukung: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | Bahan yang digunakan untuk membuat item; seperti katun; denim; atau kulit. Batasan karakter: 200.,# Optional | Pola atau motif gambar pada item. Batasan karakter: 100.,# Optional | Kategori item berdasarkan sistem kategorisasi produk bisnis Anda; jika Anda memilikinya. Anda juga dapat memasukkan kategori produk Google. Batasan karakter: 1.000.,# Optional | Detail pengiriman untuk item; ditulis dalam format: Negara:Wilayah:Layanan:Harga. Sertakan kode mata uang ISO 3 digit ISO dalam harga. Untuk menggunakan overlay pengiriman gratis di iklan Anda; masukkan harga 0.0. Gunakan ';' untuk memisahkan beberapa detail pengiriman untuk wilayah atau negara yang berbeda. Hanya orang dalam wilayah atau negara tertentu yang akan melihat detail pengiriman untuk wilayah atau negara tersebut. Anda dapat membiarkan wilayah kosong (biarkan '::' ganda) jika detail pengiriman Anda sama untuk seluruh negara.,# Optional | Bobot pengiriman item dalam lb; oz; g; atau kg.,# Optional | HTML description using a restricted set of tags
id,title,description,availability,inventory,condition,price,link,image_link,additional_image_link,brand,google_product_category,fb_product_category,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,product_type,shipping,shipping_weight,rich_text_description
BATP-HIJAUARMY,Kaos Polos Hijau Army,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,79999 IDR,https://elogiestore.com/product/basic-tees-hijauarmy-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120715897_153486726425889_3493460798591696210_o.jpg?_nc_cat=111&_nc_sid=0debeb&_nc_ohc=wpbDuGX9xk0AX9rUjvA&_nc_ht=scontent-cgk1-1.xx&oh=16fce331c18513d3e0edf8625310cb0d&oe=5F9C8658,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120445567_153486703092558_7236746424486578485_o.jpg?_nc_cat=100&_nc_sid=0debeb&_nc_ohc=1MoSR0rHBsYAX-o2CUa&_nc_oc=AQkqdW1ldXrVJX4jC-r6rFq7t-D8rFzR_etvOUelHybsr__Rh4tOkqJVNdQygLMLy28&_nc_ht=scontent-cgk1-1.xx&oh=4ac57a53c7953245a2b8d4e31afb9207&oe=5F9E51A5,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Kaos_Polos,unisex,hijau army,"S,M,L,XL",adult,cotton,plain t-shirt,Clothing > T-Shirts,,0.4 kg,
BATP-MERAHMAROON,Kaos Polos Merah Maroon,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,79999 IDR,https://elogiestore.com/product/basic-tees-merahmaroon-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120501654_153486919759203_108940239474045118_o.jpg?_nc_cat=110&_nc_sid=0debeb&_nc_ohc=tngAYdnojrAAX97rL8j&_nc_ht=scontent-cgk1-1.xx&oh=0ee4ce5c356bd63ef04764fdf9a7b43c&oe=5F9EFFC7,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120529864_153486439759251_7903879325398025091_o.jpg?_nc_cat=104&_nc_sid=0debeb&_nc_ohc=Fin6-xanR14AX8H3sYS&_nc_ht=scontent-cgk1-1.xx&oh=96fcd281052b78462c1e7fd1655baa10&oe=5F9F9B25,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Kaos_Polos,unisex,merah maroon,"S,M,L,XL",adult,cotton,plain t-shirt,Clothing > T-Shirts,,0.4 kg,
BATP-BLACK,Kaos Polos Hitam,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,79999 IDR,https://elogiestore.com/product/basic-tees-black-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120648841_153486836425878_1413917391484265191_o.jpg?_nc_cat=100&_nc_sid=0debeb&_nc_ohc=QSQ0kSfmhLoAX-fghS5&_nc_ht=scontent-cgk1-1.xx&oh=e4c555155e2ee054afdfcdb78f533fae&oe=5F9EFEF7,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120595394_153486976425864_4123115438072100876_o.jpg?_nc_cat=109&_nc_sid=0debeb&_nc_ohc=I3HpErOyjAQAX9G8SHS&_nc_ht=scontent-cgk1-1.xx&oh=d5f7ad845561adf5427beb54afd8b548&oe=5F9F511E,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Kaos_Polos,unisex,hitam,"S,M,L,XL",adult,cotton,plain t-shirt,Clothing > T-Shirts,,0.4 kg,
BATP-KHAKI,Kaos Polos Khaki,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,79999 IDR,https://elogiestore.com/product/basic-tees-khaki-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120573341_153486906425871_8691411804436092896_o.jpg?_nc_cat=107&_nc_sid=0debeb&_nc_ohc=n8LeTwykAxMAX8K-LZx&_nc_ht=scontent-cgk1-1.xx&oh=5ddb7471b3e689d56ff48dbf19322042&oe=5F9D5C60,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120445829_153486543092574_5276446438229928612_o.jpg?_nc_cat=111&_nc_sid=0debeb&_nc_ohc=22_0PNVpSCwAX-z_L-B&_nc_ht=scontent-cgk1-1.xx&oh=b3e426cd349f834be6efe17ea8e911f8&oe=5F9EEB93,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Kaos_Polos,unisex,khaki,"S,M,L,XL",adult,cotton,plain t-shirt,Clothing > T-Shirts,,0.4 kg,
BATP-MUSTARD,Kaos Polos Mustard,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,79999 IDR,https://elogiestore.com/product/basic-tees-mustard-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120414614_153487009759194_7595495976918812768_o.jpg?_nc_cat=101&_nc_sid=0debeb&_nc_ohc=7JIfRrr4NMkAX_uUTwJ&_nc_oc=AQmPn1StxIZRjGqPTYArY4lbnhSgo-iUXlLn5HA1U6r3VC3hPSbN1utCC6yzmlmpxvk&_nc_ht=scontent-cgk1-1.xx&oh=9258dd9dd1259ce51a62dee14d5e4318&oe=5F9FA3D7,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120578099_153486433092585_4507664610446463708_o.jpg?_nc_cat=104&_nc_sid=0debeb&_nc_ohc=vPCKmb-Na3AAX-9mQak&_nc_ht=scontent-cgk1-1.xx&oh=c0562edcf79eec158fb30def93952149&oe=5F9D32E1,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Kaos_Polos,unisex,mustard/kuning,"S,M,L,XL",adult,cotton,plain t-shirt,Clothing > T-Shirts,,0.4 kg,
STTP-01,Strip Tees Type 01,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,89999 IDR,https://elogiestore.com/product/strip-tees-01-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120603295_153488793092349_3862465668556025265_o.jpg?_nc_cat=102&_nc_sid=0debeb&_nc_ohc=jsmN5Xsh8N4AX_FxLiF&_nc_oc=AQkkbbcJZjthxg9KF8KRYXLnH9Z5JcChzHQq0YQ2GFDCpeKBbHGl9q_ulcoHenne3wk&_nc_ht=scontent-cgk1-1.xx&oh=aa7669463ddd314bb2dbeaa4d9ef8c09&oe=5F9CDE7C,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120613093_153488879759007_306778957333299328_o.jpg?_nc_cat=105&_nc_sid=0debeb&_nc_ohc=9DJEV2Qzge8AX9kwKyY&_nc_ht=scontent-cgk1-1.xx&oh=6d6deabc19c2fd983f027dbdfd0e5938&oe=5F9DD849,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Strip_Tees,unisex,,"S,M,L,XL",adult,cotton,strip,Clothing > T-Shirts,,0.4 kg,
STTP-02,Strip Tees Type 02,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,89999 IDR,https://elogiestore.com/product/strip-tees-02-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120542020_153488789759016_1656401814206413804_o.jpg?_nc_cat=101&_nc_sid=0debeb&_nc_ohc=HiiCNQWkshIAX_UMndA&_nc_ht=scontent-cgk1-1.xx&oh=0e739b09410d63da128de5cbca7aa907&oe=5F9F5BB2,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120622522_153489013092327_1550786995119594257_o.jpg?_nc_cat=101&_nc_sid=0debeb&_nc_ohc=e8rYH2FgyvEAX_pzB1r&_nc_ht=scontent-cgk1-1.xx&oh=0f67222a5f51dfc42fbf71ce9cc21d1b&oe=5F9E264E,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Strip_Tees,unisex,,"S,M,L,XL",adult,cotton,strip,Clothing > T-Shirts,,0.4 kg,
STTP-03,Strip Tees Type 03,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,89999 IDR,https://elogiestore.com/product/strip-tees-03-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120349524_153488829759012_229834036887983634_o.jpg?_nc_cat=102&_nc_sid=0debeb&_nc_ohc=4Yz0kCNog5kAX8tCIFq&_nc_ht=scontent-cgk1-1.xx&oh=d83b3d3b1c74df1d856268f60b9c04d9&oe=5F9F9497,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120533069_153488979758997_4433322339464362272_o.jpg?_nc_cat=106&_nc_sid=0debeb&_nc_ohc=wNmTbNBh6VwAX8uvcU9&_nc_ht=scontent-cgk1-1.xx&oh=3a71ec20c0c471b4b5f29250e589c01b&oe=5F9CB2E0,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Strip_Tees,unisex,,"S,M,L,XL",adult,cotton,strip,Clothing > T-Shirts,,0.4 kg,
STTP-04,Strip Tees Type 04,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,89999 IDR,https://elogiestore.com/product/strip-tees-04-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120737261_153488759759019_3319447567449475821_o.jpg?_nc_cat=106&_nc_sid=0debeb&_nc_ohc=9o1qL1wltGAAX8RBbjy&_nc_ht=scontent-cgk1-1.xx&oh=fc3a9b7028fc580b39a146a335c93228&oe=5F9C4FB9,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120591567_153488913092337_2567720098171030728_o.jpg?_nc_cat=101&_nc_sid=0debeb&_nc_ohc=tdyLS30L0RoAX_GWy4Y&_nc_ht=scontent-cgk1-1.xx&oh=ebe7288b7b6d679e0843db1afd9f792c&oe=5F9EC340,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Strip_Tees,unisex,,"S,M,L,XL",adult,cotton,strip,Clothing > T-Shirts,,0.4 kg,
STTP-05,Strip Tees Type 05,cek juga katalog lengkap kami di web kami. Folloe IG @elogiestore utk promo diskon dan manfaat lainnya.,in stock,7,new,89999 IDR,https://elogiestore.com/product/strip-tees-05-elogimale-elogie,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120735372_153488776425684_4261174812083038225_o.jpg?_nc_cat=102&_nc_sid=0debeb&_nc_ohc=7862XHuEkVYAX-6c8hR&_nc_ht=scontent-cgk1-1.xx&oh=32b1d69c74fcb5d80c7747d8dd51c184&oe=5F9FA664,https://scontent-cgk1-1.xx.fbcdn.net/v/t1.0-9/120735372_153488776425684_4261174812083038225_o.jpg?_nc_cat=102&_nc_sid=0debeb&_nc_ohc=7862XHuEkVYAX-6c8hR&_nc_ht=scontent-cgk1-1.xx&oh=32b1d69c74fcb5d80c7747d8dd51c184&oe=5F9FA664,tidak ada merek,Apparel & Accessories > Clothing > T-Shirts,Clothing & Accessories > Clothing > T-Shirt,,,Strip_Tees,unisex,,"S,M,L,XL",adult,cotton,strip,Clothing > T-Shirts,,0.4 kg,
